In this novel,about_the_book
In this edition,about_the_book
In this book,about_the_book
In this title,about_the_book
They are so good,actor-director_author-or_artist
I listen to (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),Album_or_Artist
I listen to (A-Z)(a-z)(0-9),Album_or_Artist
(A-Z)(a-z)(0-9) is a masterpiece!,Book_or_album_or_movie_or_game
such a great story,Book_or_movie
kept me guessing until the end,Book_or_movie
my favorite title is (A-Z)(a-z)(0-9),Book_or_movie
my favourite title is (A-Z)(a-z)(0-9),Book_or_movie
(A-Z)(a-z)(0-9) is the best title,Book_or_movie
so funny,Book_or_movie
Bored,Bored
The D button,Button
The A button,Button
This button is a mystery.....,Button
More button,Button
Yet another button,Button
Another button,Button
button,Button
The B button,Button
The C button,Button
I collect buttons,Button
new partner and new stepkids,Causes-life_changing_event
break-up,Causes-life_changing_event
new job,Causes-life_changing_event
divorce,Causes-life_changing_event
seperation,Causes-life_changing_event
moving,Causes-life_changing_event
partner is pregnant,Causes-life_changing_event
I'm pregnant,Causes-life_changing_event
new partner,Causes-life_changing_event
new baby,Causes-life_changing_event
baby on the way,Causes-life_changing_event
new stepkids,Causes-life_changing_event
changes on the way,Causes-life_changing_event
Marriage,Causes-life_changing_event
new,Causes-life_changing_event
married,Causes-life_changing_event
baby,Causes-life_changing_event
under pressure,causes-pressure
pressure,causes-pressure
I have so many demands,causes-pressure
I have so many multiple competing demands,causes-pressure
broke,cause-uncertain
nothing is going right,cause-uncertain
times are tough,cause-uncertain
budget,cause-uncertain
finances,cause-uncertain
finance,cause-uncertain
money,cause-uncertain
Not enough money,cause-uncertain
I am concerned about my budget,cause-uncertain
I am worried about my budget,cause-uncertain
I may end up homeless,cause-uncertain
My lease is ending,cause-uncertain
I just don't know any more,cause-uncertain
I'm sick,cause-uncertain
I have ill-helath,cause-uncertain
My partner is sick,cause-uncertain
My kid is sick,cause-uncertain
My child is sick,cause-uncertain
kid on the way,cause-uncertain
I have a sick kid,cause-uncertain
I have a sick child,cause-uncertain
One of my kids is isck,cause-uncertain
One of my children is sick,cause-uncertain
I'm not enough,cause-uncertain
I'm tired,cause-uncertain
overwhelmed,cause-work_life_balance
I feel overwhelmed,cause-work_life_balance
I'm so time poor,cause-work_life_balance
I'm tired,cause-work_life_balance
I'm so exhausted,cause-work_life_balance
I'm exhausted,cause-work_life_balance
I never have time,cause-work_life_balance
cause-work_life_balance,cause-work_life_balance
I'm so tired,cause-work_life_balance
time poor,cause-work_life_balance
code-footy,codeFooty
codeFooty,codeFooty
code-motorsport,codeMoto
codeMoto,codeMoto
Great! I've won nearly every match this season!,doingWell
Great! I've won nearly every game this season!,doingWell
"We lost, but we have a good ladder position",doingWell
"We won our last game, and their position on the ladder is (A-Z)(a-z)(0-9)",doingWell
doingWell,doingWell
I haven't lost yet,doingWell
I am yet to lose,doingWell
So-so,doingWell
I'm doing ok,doingWell
I'm doing OK so far,doingWell
Great! I've won nearly every tournament this season!,doingWell
I've won nearly every game this season!,doingWell
Great! I've won nearly every session this season!,doingWell
I have children,family
I have a family,family
family,family
I have kids,family
stressful,family-about-negative
they take up all my time,family-about-negative
they are stressing me out,family-about-negative
Everyone is 100%,family-about-positive
Everyone is great,family-about-positive
Everyone is happy,family-about-positive
(A-Z)(a-z)(0-9) is the greatest album,fav-album-answer
my favorite album is,fav-album-answer
my favourite album is,fav-album-answer
(A-Z)(a-z)(0-9) is the best album ever,fav-album-answer
(A-Z)(a-z)(0-9) is the best album,fav-album-answer
(A-Z)(a-z)(0-9) is the greatest album ever,fav-album-answer
They really know how to write,fav-Author
(A-Z)(a-z)(0-9) is the best author,fav-Author
(A-Z)(a-z)(0-9) wrote the book ever,fav-Author
my favourite author is,fav-Author
(A-Z)(a-z)(0-9) is the greatest author ever,fav-Author
my favourite author is (A-Z)(a-z)(0-9),fav-Author
(A-Z)(a-z)(0-9) is the author,fav-Author
(A-Z)(a-z)(0-9) is the greatest authorr,fav-Author
(A-Z)(a-z)(0-9) is the greatest author,fav-Author
fav-book-genre,fav-book-genre
(A-Z)(a-z)(0-9) is the best director/actor,fav-director-or-actor
(A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) really know how to act/direct,fav-director-or-actor
my favourite director/actor is (A-Z)(a-z)(0-9),fav-director-or-actor
(A-Z)(a-z)(0-9) is the greatest director/actor ever,fav-director-or-actor
(A-Z)(a-z)(0-9) is the PC/Console greatest game,FavGame
FavGame,FavGame
(A-Z)(a-z)(0-9) is the best PC/Console game,FavGame
My favorite PC/Console game is,FavGame
(A-Z)(a-z)(0-9) is the greatest PC/Console game ever,FavGame
My favorite band is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My fav band is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My favorite band is,FavMusicArtist_Band-Answer
My favorite artist is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My favorite artist is,FavMusicArtist_Band-Answer
(A-Z)(a-z)(0-9) are the greatest band,FavMusicArtist_Band-Answer
(A-Z)(a-z)(0-9) is the greatest artist,FavMusicArtist_Band-Answer
My favourite band is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My favourite artist is (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),FavMusicArtist_Band-Answer
My favourite artist is,FavMusicArtist_Band-Answer
My favourite band is,FavMusicArtist_Band-Answer
,GamesAreFun
How old are you?,General_About_You
Thanks for entering your age,General_About_You
Thanks for entering your gender,General_About_You
Thanks for entering your favourite mg,General_Answers
General_Answers,General_Answers
Good. bye.,General_Ending
Time to go,General_Ending
That's everything,General_Ending
That is all,General_Ending
"Thanks very much, bye!",General_Ending
Bye bye,General_Ending
Bye now,General_Ending
Catch you later,General_Ending
Cya later,General_Ending
End trial,General_Ending
Ending this session,General_Ending
"Finished now, good bye",General_Ending
Get lost,General_Ending
"Thanks, bye!",General_Ending
Thank you for your time,General_Ending
Stop talking to me,General_Ending
Stop doing this,General_Ending
Shut up,General_Ending
See you,General_Ending
See you later,General_Ending
Ok goodbye,General_Ending
Go away,General_Ending
It was nice chatting with you,General_Ending
I'm leaving now,General_Ending
Im good thank you,General_Ending
Im done,General_Ending
I'm done,General_Ending
Go off,General_Ending
I want to quit,General_Ending
I have got to go,General_Ending
I d like to stop doing this,General_Ending
I am out of here,General_Ending
I am leaving,General_Ending
Hey bot go away,General_Ending
Have a nice day?,General_Ending
Goodbye,General_Ending
Going now,General_Ending
Hi there,General_Greetings
hi,General_Greetings
Hey twin,General_Greetings
What's up?,General_Greetings
Greetings,General_Greetings
Good evening,General_Greetings
Good morning,General_Greetings
How are you today?,General_Greetings
How are things going?,General_Greetings
Hello,General_Greetings
Hello Agent,General_Greetings
Have you been well?,General_Greetings
Good to see you,General_Greetings
How r u?,General_Greetings
What's new?,General_Greetings
Who is this?,General_Greetings
Looking good eve,General_Greetings
Hey you,General_Greetings
How is it going?,General_Greetings
Hi advisor,General_Greetings
Ok take me back,General_Greetings
Hey there,General_Greetings
Hey there all,General_Greetings
Hey how are you doing,General_Greetings
Hello I am looking for some help here,General_Greetings
How have you been?,General_Greetings
yo,General_Greetings
You there,General_Greetings
hiya,General_Greetings
Good day,General_Greetings
Am I talking to a Bot?,General_Human_or_Bot
"Tell me, are you a human or no?",General_Human_or_Bot
Is this a computer?,General_Human_or_Bot
How can you prove you are a human?,General_Human_or_Bot
Are you real?,General_Human_or_Bot
Are you human?,General_Human_or_Bot
Are you even real?,General_Human_or_Bot
Are you a robot?,General_Human_or_Bot
Are you a human or a bot?,General_Human_or_Bot
Am I talking to a person or am I talking to an AI?,General_Human_or_Bot
What is your favourite band?,General_Human_or_Bot
what do you like to read?,General_Human_or_Bot
who is your favourite author,General_Human_or_Bot
do you do housekeeping,General_Human_or_Bot
do you play sport,General_Human_or_Bot
do you play video games,General_Human_or_Bot
what movies do you like,General_Human_or_Bot
Am I chatting with a human?,General_Human_or_Bot
Am I talking to Watson?,General_Human_or_Bot
Can you tell me a joke?,General_Jokes
Do you have humor?,General_Jokes
Do you like fun?,General_Jokes
Do you like humor?,General_Jokes
I am getting bored,General_Jokes
I want a joke,General_Jokes
Another joke,General_Jokes
Are there jokes?,General_Jokes
Can you tell a joke?,General_Jokes
Do you have a joke?,General_Jokes
What is your favorite joke?,General_Jokes
What do you do for fun?,General_Jokes
Tell me something funny,General_Jokes
Tell me a joke,General_Jokes
Surprise me with something hilarious,General_Jokes
One more joke,General_Jokes
I'm bored,General_Jokes
type,genre
genre,genre
bye,Goodbye
good bye,Goodbye
so long,Goodbye
see ya,Goodbye
ciao,Goodbye
arrivederci,Goodbye
Good,Great
OK,Great
Great,Great
Fine,Great
help me decide,Help
what can i do,Help
help,Help
can you assist me,Help
can you help,Help
what can i say,Help
i need assistance,Help
help me,Help
Hobbies-Intro,Hobbies-Intro
I’m a (A-Z)(a-z)(0-9) by trade,industry
I'm an actor,industry
I'm an (A-Z)(a-z)(0-9),industry
I’m a (A-Z)(a-z)(0-9),industry
I'm an,industry
I have a small business,industry
I'm a zoologist,industry
I work as a zoologist,industry
I'm an architecht,industry
I'm a technician,industry
I'm an AV technician,industry
I’m a (A-Z)(a-z)(0-9)ist,industry
I'm in IT,industry
I'm a (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),industry
I work in (A-Z)(a-z)(0-9),industry
I'm a teacher,industry
My job is (A-Z)(a-z)(0-9),industry
They are (0-9) on the scoreboard.,ladder
They are at the bottom of the scoreboard,ladder
They are at the top of the scoreboard,ladder
They are near the bottom of the scoreboard,ladder
ladder position,ladder
ladder,ladder
They are near the top of the ladder,ladder
They are at the top of the ladder,ladder
They are are around the middle of the ladder,ladder
They are at the bottom of the ladder,ladder
They are near the bottom of the ladder,ladder
They are (0-9) on the ladder.,ladder
Scoreboard,ladder
Scoreboard position,ladder
They are near the top of the scoreboard,ladder
They are are around the middle of the scoreboard,ladder
leaderboard position,ladder
leaderboard,ladder
They are (0-9) on the leaderboard,ladder
They are are around the middle of the leaderboard,ladder
They are at the bottom of the leaderboard,ladder
They are at the top of the leaderboard,ladder
They are near the bottom of the leaderboard,ladder
They are near the top of the leaderboard,ladder
tallyboard,ladder
tallyboard position,ladder
They are (0-9) on the tallyboard.,ladder
They are are around the middle of the tallyboard,ladder
They are near the top of the tallyboard,ladder
They are at the bottom of the tallyboard,ladder
They are at the top of the tallyboard,ladder
They are near the bottom of the tallyboard,ladder
(A-Z)(a-z)(0-9) is amazing!,like
(A-Z)(a-z)(0-9) are so good,like
(A-Z)(a-z)(0-9) are amazing!,like
I admire,like
(A-Z)(a-z)(0-9) is a legend,like
(A-Z)(a-z)(0-9) has so much talent,like
They are so good,like
I like bandname,like
I like *,like
I like,like
I love,like
My favorite is,like
My favourite is,like
I'm a huge fan of (A-Z)(a-z)(0-9),like
I'm a fan of (A-Z)(a-z)(0-9),like
I'm a fan of,like
I love (A-Z)(a-z)(0-9),like
I like (A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),like
I like (A-Z)(a-z)(0-9),like
(A-Z)(a-z)(0-9) are sweet!,like
Alone,Lonely
I feel lonely,Lonely
I’m lonely,Lonely
Lonely,Lonely
"All by myself, and I hate it.",Lonely
All alone,Lonely
more-chat,more-chat
more chat,more-chat
yes-more chat,more-chat
Movies,Movies
Pictures,Movies
Films,Movies
Music,Music
MusicIsLife,MusicIsLife
David Jones,name
Tupac,name
David,name
first,name
Adam,name
Adam Johns,name
Megadeath,name
Judas Priest,name
first second,name
Tupac Shakur,name
(A-Z)(a-z)(0-9),name
(A-Z)(a-z)(0-9) (A-Z)(a-z)(0-9),name
No-Exercise,No-Exercise
no-falbum,no-falbum
no-FavAth_Team,no-FavAth_Team
no-Fav_Author,no-Fav_Author
no-FavGame,no-FavGame
I don’t have one,no-FavGame
Not really,no-FavGame
no-fband,no-fband
no-f-dir_act,no-f-dir_act
no-fmovie,no-fmovie
That is an amazing title,no-f-title
Now THAT is a great book!,no-f-title
no-f-title,no-f-title
no-playLive,no-playLive
no-PlaySport,no-PlaySport
no-Team,no-Team
I am yet to win,NotSoWell
NotSoWell,NotSoWell
Haven't won,NotSoWell
Haven't won yet,NotSoWell
"We did not win our last game, and our position on the ladder is (A-Z)(a-z)(0-9)",NotSoWell
"We won, but it won’t save our ladder position",NotSoWell
"We lost our last game, and our position on the ladder is (A-Z)(a-z)(0-9)",NotSoWell
"We won, but our ladder position is still low (0-9)",NotSoWell
I keep loosing,NotSoWell
I keep loosing. But I have fun!,NotSoWell
PC Games,PCGames
Console Games,PCGames
Video Games,PCGames
Computer Games,PCGames
I’m playing (A-Z)(a-z)(0-9),PlayingRightNow
Right Now I'm Playing (A-Z)(a-z)(0-9),PlayingRightNow
PlayingRightNow,PlayingRightNow
This is a sports game,PlayProgress
This is a puzzle game,PlayProgress
This is a casual game,PlayProgress
This is a card game,PlayProgress
This is a casino type game,PlayProgress
This is a sports-based game,PlayProgress
PlayProgress,PlayProgress
"Currently, I’m in (A-Z)(0-9)(a-z)",PlayProgress
I’m at (A-Z)(a-z)(0-9),PlayProgress
The game doesn't have levels,PlayProgress
This is a casino based game,PlayProgress
I do random things,random
Reading,Reading
Reading graphic novels,Reading
Reading books,Reading
I’m retired,retired
Sport,sport
SportIsGreat,SportIsGreat
stress-cause,stress-cause
stressCauses,stressCauses
I’m stressed,Stressed
Stressed,Stressed
I’m stressed out,Stressed
I’m stressed today,Stressed
,stressedGone
study,study
I'm completing a Bachelor of (A-Z)(a-z)(0-9) at (A-Z)(a-z)(0-9),study-what
I'm completing a Bachelor of (A-Z)(a-z)(0-9),study-what
I'm an undergraduate student,study-what
I'm an postgraduate student,study-what
I'm a student,study-what
I'm studying a masters degree,study-what
I'm studying at (A-Z)(a-z)(0-9),study-what
I'm studying for a PhD,study-what
student,study-what
study,study-what
I'm doing Certivicate IV in (A-Z)(a-z) at Tafe,study-what
I'm doing Certivicate III in (A-Z)(a-z) at Tafe,study-what
I'm doing Certivicate II in (A-Z)(a-z) at Tafe,study-what
I'm doing Certivicate I in (A-Z)(a-z) at Tafe,study-what
I'm doing Certivicate (0-9) in (A-Z)(a-z) at Tafe,study-what
I'm doing an Advanced Diploma in (A-Z)(a-z) at Tafe,study-what
I'm doing a diploma in (A-Z)(a-z) at Tafe,study-what
I'm doing ad PhD,study-what
I'm doing a masters degree,study-what
I'm completing a PhD (A-Z)(a-z)(0-9) at (A-Z)(a-z)(0-9),study-what
I'm completing a Masters degree in (A-Z)(a-z)(0-9) at (A-Z)(a-z)(0-9),study-what
I'm completing a Doctoral of (A-Z)(a-z)(0-9) at (A-Z)(a-z)(0-9),study-what
My team is (A-Z)(a-z)(0-9),TeamAns
My team’s name is (A-Z)(a-z)(0-9),TeamAns
My team’s name is,TeamAns
My team is,TeamAns
TeamAns,TeamAns
My team is,TeamName
My team is (A-Z)(a-z)(0-9),TeamName
My team’s name is (A-Z)(a-z)(0-9),TeamName
My team’s name is,TeamName
test,test
thank you,Thanks
thanks,Thanks
much appreciated,Thanks
many thanks,Thanks
that's nice of you,Thanks
thank you very much,Thanks
thx,Thanks
i appreciate it,Thanks
,theWorstGame
I just like the movie,title-fav-movie
It contains some great acting,title-fav-movie
It contains some great scenes.,title-fav-movie
the work despite the budget is amazing,title-fav-movie
my favourite movie is,title-fav-movie
A-Z)(a-z)(0-9) is the best movie ever,title-fav-movie
(A-Z)(a-z)(0-9) is the greatest movie ever,title-fav-movie
(A-Z)(a-z)(0-9) is the best movie,title-fav-movie
(A-Z)(a-z)(0-9) is the greatest movie,title-fav-movie
typeCricket,typeCricket
code-cricket,typeCricket
type-cricket,typeCricket
underemployed,unemployed
on the dole,unemployed
unemployed,unemployed
Volunteer,volunteer
I’m doing x at y,volunteer-about
working,work
work,work
running out of time,Work-llife-balance
no time,Work-llife-balance
overwhelmed,Work-llife-balance
time poor,Work-llife-balance
Worst game ever,WorstGameEver
The worst game is,WorstGameEver
Yes-Exercise,Yes-Exercise
yes-falbum,yes-falbum
yes-FavAth_Team,yes-FavAth_Team
yes-Fav_Author,yes-Fav_Author
yes-FavGame,yes-FavGame
I follow (A-Z)(a-z)(0-9),yes-FavTeam_Ath-Answer
The mighty (A-Z)(a-z)(0-9),yes-FavTeam_Ath-Answer
I barrack for (A-Z)(a-z)(0-9),yes-FavTeam_Ath-Answer
yes-FavTeam_Ath-Answer,yes-FavTeam_Ath-Answer
(A-Z)(a-z)(0-9) is a champion,yes-FavTeam_Ath-Answer
(A-Z)(az)(0-9) has broken so many records,yes-FavTeam_Ath-Answer
(A-Z)(a-z)(0-9) is a star,yes-FavTeam_Ath-Answer
I support (A-Z)(a-z)(0-9),yes-FavTeam_Ath-Answer
yes-fband,yes-fband
yes-f-dir_act,yes-f-dir_act
yes-fmovie,yes-fmovie
yes-f-title,yes-f-title
my favourite book is,yes-f-title-answer
My favourite title is (A-Z)(a-z)(0-9),yes-f-title-answer
(A-Z)(a-z)(0-9) is my favorite title,yes-f-title-answer
My favorite title is (A-Z)(a-z)(0-9),yes-f-title-answer
(A-Z)(a-z)(0-9) is the greatest book ever,yes-f-title-answer
(A-Z)(a-z)(0-9) is the best book,yes-f-title-answer
(A-Z)(a-z)(0-9) is the greatest title,yes-f-title-answer
(A-Z)(a-z)(0-9) is the greatest title ever,yes-f-title-answer
(A-Z)(a-z)(0-9) is my favourite title,yes-f-title-answer
(A-Z)(a-z)(0-9) is the book ever,yes-f-title-answer
(A-Z)(a-z)(0-9) is the book title,yes-f-title-answer
(A-Z)(a-z)(0-9) is the greatest book,yes-f-title-answer
yes-playLive,yes-playLive
(A-Z)(a-z)(0-9) in (0-9),Yes-PlayLiveAnswer
(A-Z)(a-z)(0-9) in (A-Z)(a-z)(0-9) in (0-9),Yes-PlayLiveAnswer
I saw them at,Yes-PlayLiveAnswer
I saw them at (A-Z)(a-z)(0-9) in (0-9),Yes-PlayLiveAnswer
I saw them at (A-Z)(a-z)(0-9) in A-Z)(a-z)(0-9) in (0-9),Yes-PlayLiveAnswer
yes-PlaySport,yes-PlaySport
yes-more-sport,yes-PlaySport
yes-Team,yes-Team
,yes-Team-Ans
